date,item,news,result
2025-09-04-18-32,DB손해보험," 보험브리핑 NH농협손보 KB손보 DB손보 그룹 자금줄 DB손보 업계 최상위 건전성에도 자본성증권 줄발행 DB손해보험, 국가품질혁신경진대회 9년 연속 수상 ",0.9093786
2025-09-04-18-32,HMM,"HMM 왜 한진해운 출신 대표 나오지 않을까, LX판토스 출신 최원혁 주목받는 이유 ",0.95561653
2025-09-04-18-32,카카오뱅크," 함께 달리고 기부해요  카카오뱅크,  세이브 레이스 2025  개최 ",0.96731323
2025-09-04-18-32,원익IPS," 원익IPS 기술 탈취  공정위 심사 결과 연내 나온다  4년 만에 투자 사이클 도래  원익IPS, 목표가 5만5천원 SK   원익IPS, 실적 숨고르기 후 4분기 순항 기대 목표가   원익IPS, 반도체 장비업계 내 주도주 목표주가 5만5000원  -SK ",0.9858576
2025-09-04-18-32,KG이니시스,KG 곽재선  본전은 이미 뽑았으니 뭐가 두렵나 ...창립 40년 만에 재계 54위 ,0.9527841
2025-09-04-18-32,엠로,"엠로, 유럽에 SRM 공급 임박... 해외 SaaS 매출 143% 급증 ",0.97020495
2025-09-04-18-32,SK,"SK그룹 조기 인사 가능성 부상 SK  SKT 등 주목 SK AX, 신한은행 AI 대전환 이끈다  금융 AX 로 업무 혁신 가속화 SK이노베이션, 6천억원 회사채 발행  재무구조 개선 가속  AWS  SK그룹 협력, 한국 AI 혁신의 분수령  ",0.9323584
2025-09-05-21-09,HD현대일렉트릭,"HD현대일렉트릭, 북미서 1400억원 규모 ESS 수주 - 조선비즈 ",0.9894906
2025-09-05-21-09,하나마이크론,"반도체 재료 부품 관련주,  룰루랄라 콧노래  한솔아이원스 하나마이크론 ",0.9348908
2025-09-05-21-09,RFHIC,"RFHIC, RF시스템즈 주식 2만5945주 매수 ",0.95807934
2025-09-05-21-09,엘앤씨바이오," 특징주  엘앤씨바이오, 스킨부스터  리투오  품귀 현상에 상한가 ",0.9815808
2025-09-05-21-09,세방전지,"세방전지, 오성훈 상무보 주식 250주 증가 ",0.9874704
2025-09-05-21-09,한미반도체,"한미반도체, 이례적 목표가 강등  HBM 장비 독점 뺐겼다   시장 다변화  노리는 한미반도체, 김정영 CFO  재무 전략통  전면에 ",0.95987284
2025-09-05-21-09,율촌화학,"오전 이슈  MLCC    삼화콘덴서, 삼화전기, 코칩, 율촌화학, 네온테크 ",0.9733294
2025-09-05-21-09,POSCO홀딩스,"HMM, 포스코그룹 인수설에 2% 상승 마감 포스코홀딩스는 약세 핫종목  POSCO홀딩스 포스코홀딩스  주가 28만원선 이하로 뚝 4%  HMM 인수 검토하는 포스코, 해운업 노조 반발  산 넘어 산  - 조선비즈  특징주  HMM 장초반 주가 포스코 인수설에 강세 POSCO홀딩스는 하락세 ",0.92882717
2025-09-05-21-09,SK아이이테크놀로지,"SK이노베이션, 지속가능 가치 창출 위한 친환경 노력 연이어 ",0.98987675
2025-09-05-21-09,솔브레인홀딩스,"솔브레인홀딩스    특수목적법인 아르테미스에 850억원 출자  솔브레인홀딩스 미국 자회사, 6069억 규모 지분 매각 솔브레인홀딩스 미국 자회사, 6069억 규모 지분 매각 ",0.9600726
2025-09-05-21-09,HMM,"HMM 인수 검토하는 포스코, 해운업 노조 반발  산 넘어 산  - 조선비즈 ",0.9943593
2025-09-05-21-09,에스앤에스텍,"에스앤에스텍 코스닥 101490  최대주주 중 개인투자자, 지난주 8.2% 주가 하락 후 타격을 입었다. ",0.9206669
2025-09-05-21-09,피에스케이," 투자원정대 동행  피에스케이 vs 동성화인텍 vs 다날, 공략법은? ",0.99845535
2025-09-05-21-09,SK,"SK그룹 조기 인사 가능성 부상 SK  SKT 등 주목  SK와 협력은 인프라 구축을 넘어 한국 AI 혁신의 분수령    프라사드 칼야나라만 AWS 인프라 서비스 부사장 SK 삼성,   대표 AI반도체 리벨리온 잡기 혼신 트럼프  미국에 공장 안 지으면  상당한 반도체 관세  부과    삼성 SK 피해가나 ",0.91626835
2025-09-05-21-09,원익IPS," 원익IPS 공정위 심사  연내 결과 나온다 반도체 투자 훈풍 탄다  SK증권  원익IPS 장기 성장성 주목  SK   원익IPS, 실적 숨고르기 후 4분기 순항 기대 목표가   SK증권  원익IPS, 하반기 실적 본격적으로 반등... 목표주가 상향  ",0.9950327
2025-09-05-21-09,삼성에스디에스," 리포트 브리핑 삼성에스디에스,  정부 정책 방향성에 꼭 필요한 CSP와 MSP  목표가 180,000원 - 한화투자증권 ",0.9046391
2025-09-05-21-09,S-Oil,"S-OIL, 협력업체 초청 구매설명회 ",0.9240123
2025-09-05-21-09,지씨셀,"지씨셀, 김재왕 원성용 대표  투톱  체제 반년  R D 매출사업  강화 ",0.9153241
2025-09-05-21-09,엠로,"엠로, 유럽에 SRM 공급 임박... 해외 SaaS 매출 143% 급증 ",0.9565617
2025-09-05-21-09,제이앤티씨," 제이앤티씨, HDD플래터 TGV유리기판 사업 성장견인 핵심 트리거  - 하나증권 제이앤티씨, HDD TGV 신사업으로 중장기 성장 기대-하나 제이앤티씨의 성장견인 핵심 트리거는  HDD플래터 TGV유리기판 사업   리포트 브리핑 제이앤티씨,  HDD TGV 리레이팅 탐색  지금 점검할 두 개의 시그널  Not Rated - 하나증권 ",0.9358697
2025-09-07-21-52,녹십자,"녹십자, 산필리포증후군 치료제 국내 희귀의약품 지정 GC녹십자, 산필리포증후군 치료제 국내 희귀의약품 지정 GC녹십자, 산필리포증후군 치료제 국내 희귀의약품 지정 GC녹십자, 산필리포증후군 치료제 후보물질 국내  희귀의약품  지정 ",0.91110533
2025-09-07-21-52,솔브레인홀딩스,"솔브레인홀딩스    특수목적법인 아르테미스에 850억원 출자  솔브레인홀딩스    특수목적법인 아르테미스에 850억원 출자  솔브레인홀딩스 미국 자회사, 6069억 규모 지분 매각 ",0.90457577
2025-09-07-21-52,삼성에스디에스," 리포트 브리핑 삼성에스디에스,  정부 정책 방향성에 꼭 필요한 CSP와 MSP  목표가 180,000원 - 한화투자증권 ",0.9046391
2025-09-07-21-52,에이비엘바이오,"에이비엘바이오, 뇌투과 BBB 플랫폼 1상 성공  파킨슨병 안전성 확인  특징주  에이비엘바이오 알츠하이머 치료제 임상 결과 긍정적...주가 강세 ",0.9104324
2025-09-07-21-52,네오위즈,"네오위즈, e스포츠 사업 발굴 인재 양성 T1 e스포츠 아카데미와 맞손 네오위즈, T1 e스포츠 아카데미와 인재 양성 사업 협력 MOU 네오위즈, T1 e스포츠 아카데미와 맞손 사업 발굴 및 인재 양성 나선다 네오위즈, T1 e스포츠 아카데미와 손잡고 인재 양성 신규 사업 발굴 ",0.94752514
2025-09-07-21-52,포스코엠텍,"특징주, 포스코엠텍-리튬 테마 상승세에 2.26%    특징주  포스코엠텍, 최대주주와 공급계약 체결에 16% 급등 ",0.954981
2025-09-07-21-52,세방전지,"세방전지, 자회사 세방리튬배터리 채무보증 결정 세방전지, 오성훈 상무보 주식 250주 증가 ",0.9491241
2025-09-07-21-52,클래시스,"유안타   클래시스, 글로벌 확산+신제품 모멘텀으로 체질 개선  클래시스,  울트라포머  미국 FDA 허가용 임상시험계획 승인 ",0.9269824
2025-09-07-21-52,하나마이크론,"미국 군함 건조를 위한 큰 그림 현대중공업+현대미포 시너지 집중 분석  매일 돈이 보이는 습관 M+  반도체 재료 부품 관련주,  룰루랄라 콧노래  한솔아이원스 하나마이크론 ",0.93603444
2025-09-07-21-52,에스앤에스텍,"에스앤에스텍 코스닥 101490  최대주주 중 개인투자자, 지난주 8.2% 주가 하락 후 타격을 입었다. ",0.9206669
2025-09-07-21-52,DB하이텍, 보스상륙작전   DB그룹  아들이냐 딸이냐   경영권 향방  촉각  ,0.987443
2025-09-07-21-52,효성첨단소재,"HS효성첨단소재, ISCC PLUS 인증 획득  탄소섬유 생산 상위1%에 들더니  HS효성첨단소재, 국제 지속가능성 인증 HS효성첨단소재, 탄소섬유 생산 공정  ISCC PLUS  인증 획득 HS효성첨단소재, ISCC PLUS 인증 획득 탄소섬유 지속가능성 보증 ",0.9117887
2025-09-07-21-52,HMM,"포스코, HMM 인수 검토 장인화 회장 임기보장 카드? 해운산업 중흥 위해서라도 HMM 민영화 속도 내야 HMM 인수 검토하는 포스코, 해운업 노조 반발  산 넘어 산  포스코의 HMM 인수  산 넘어 산 , 상법 개정으로 포스코홀딩스 77% 소액주주 설득이 관건 ",0.9934317
2025-09-07-21-52,엘앤씨바이오," 리투오 품절 사태  엘앤씨바이오, 14.5% 껑충  Why 바이오   특징주   품절 사태 이어 해외 허가까지  엘앤씨바이오, 리투오 돌풍에 증시 급등  특징주  엘앤씨바이오, 스킨부스터  리투오  품귀 현상에 상한가 엘앤씨바이오 주가, 11%대 급등... 왜? ",0.92379236
2025-09-07-21-52,원익IPS," 원익IPS 공정위 심사  연내 결과 나온다 SK   원익IPS, 실적 숨고르기 후 4분기 순항 기대 목표가    Hot 종목 체크  원익IPS, 삼성전자 테일러 팹 등 파운드리 투자로 주가 상향각? 원익IPS, 2분기 실적 반등  장비 부문 주도주 입지 재확인 ",0.9135477
2025-09-07-21-52,원텍,"원텍, 피부 치료  브이 레이저  사우디 허가 획득 원텍, 12일 기업설명회 개최 원텍, 12일 기업설명회 개최 ",0.9272392
2025-09-07-21-58,HMM,"포스코, HMM 인수 검토 장인화 회장 임기보장 카드? 해운산업 중흥 위해서라도 HMM 민영화 속도 내야 HMM 인수 검토하는 포스코, 해운업 노조 반발  산 넘어 산  포스코의 HMM 인수  산 넘어 산 , 상법 개정으로 포스코홀딩스 77% 소액주주 설득이 관건 ",0.9934317
2025-09-07-21-58,DB하이텍, 보스상륙작전   DB그룹  아들이냐 딸이냐   경영권 향방  촉각  ,0.987443
2025-09-09-18-03,S-Oil,"S-OIL, 동반성장을 위한 협력업체 초청 구매설명회 개최 S-OIL, ESG 가치 담은 AI 숏폼 홍보 딱딱한 사회공헌 기록은 옛말! S-OIL, AI로 ESG 날개 달다  브리프  현대차 KT 르노코리아 S-OIL 풀무원 롯데백화점   ",0.9632594
2025-09-09-18-03,세방전지," 꼼수 자사주 소각  세방전지, 이상웅 회장  수십억 연봉잔치  250 G  ",0.96138126
2025-09-09-18-03,포스코엠텍," 특징주  포스코엠텍, 최대주주와 공급계약 체결에 16% 급등 ",0.963609
2025-09-09-18-03,HL만도,"HL그룹, 하반기 6곳 계열사 공채 시작 ",0.9897937
2025-09-09-18-03,SK우,"SK, 하반기 실적 개선 전망에 3%대 강세 특징주  ",0.99501055
2025-09-09-18-03,원익IPS,"원익IPS, 2분기 실적 반등  장비 부문 주도주 입지 재확인 ",0.99289477
2025-09-09-18-03,HMM," 네트워크 접근권 사세요  국내 대표 해운사 HMM, 해킹에 당했다 ",0.98252064
2025-09-09-18-03,JB금융지주," 금융지주 ESG 진단  친환경 금융 생태계 키우는 JB금융 2035년  넷제로  도전 자사주 소각에 지분율 뛸라 삼양사, JB금융 주식 또 판다 JB우리캐피탈, 전북은행 제치고 순익 2위  수신 없는 구조 의 이례적 역전 JB금융 최대주주 삼양사, 보유 한도  15%룰 에 지분 추가 매각 ",0.96666044
2025-09-10-18-41,DB,"디노티시아  CPU보다 12배 빠른 벡터DB 구현   긱스  DB손보,  환경책임보험 청소년환경캠프  성료 DB영업 늘어나는 GA   마케팅 동의 잘못 받으면 법적 리스크 직격탄  진짜 똑똑한  AI 에이전트  현실로...KAIST 김민수 교수팀, 관계형 DB와 그래프 DB를 완전 통합, 새로운 DB 시스템  키마이라  개발 ",0.9609267
2025-09-10-18-41,SK우,"SK, 하반기 실적 개선 전망에 3%대 강세 특징주  상승률 상위 50선 - 코스피 - 조선비즈 상승률 상위 50선 - 코스피 - 조선비즈 상승률 상위 50선 - 코스피 - 조선비즈 ",0.9714216
2025-09-10-18-41,삼성전기우," 특징주  삼성전기우, 초슬림형  아이폰 에어  공개에도 하락 ",0.9868491
2025-09-10-18-41,JB금융지주,"얼라인파트너스, JB금융지주 회수 만지작 통매각 여부는 불투명 자사주 소각에 지분율 뛸라 삼양사, JB금융 주식 또 판다  금융지주 ESG 진단  친환경 금융 생태계 키우는 JB금융 2035년  넷제로  도전 JB금융 최대주주 삼양사, 보유 한도  15%룰 에 지분 추가 매각 ",0.9854407
2025-09-10-18-41,효성첨단소재,"HS효성첨단소재, 북미 최대 복합소재 전시회  CAMX 2025  참가 ",0.9962251
2025-09-10-18-41,HD현대,"HD현대삼호 현대미포, 스마트 선실 시스템 개발 KR 개념승인 ISS, HD현대건설기계 HD현대인프라코어 합병 찬성 권고 HD현대 한화오션  KDDX 줄다리기  막바지 수의계약 쏠리나 HD현대, 가스텍 2025서 차세대 친환경 AI 기반 가스선 기술 공개 ",0.95296377
2025-09-10-18-41,서부T&D," 리포트 브리핑 서부T D,  우리나라 대표 얼굴 되어가는 드래곤시티  목표가 13,000원 - SK증권  애널픽    용산 드래곤시티 로 몰린다...서부T D, 목표가   SK   서부T D, 국내 호텔업 호황에 실적 성장 목표주가 23%   ",0.9597707
2025-09-10-18-41,대우건설,대우건설 전국 공사 중단  GTX-B 민자구간도 멈췄다 ,0.96166694
2025-09-10-18-41,레인보우로보틱스," 생생한 주식쇼 생쇼  레인보우로보틱스  277810  대장의 귀환 기대  투자 핫플레이스  국내 대표 휴머노이드 로봇업체  레인보우로보틱스  레인보우로보틱스, 장중 280,000원 전일 대비 0.54% 상승  작전명 올레드   레인보우로보틱스, 휴머노이드 강자 글로벌 기회 잡는다 ",0.95344234
2025-09-10-18-41,한국금융지주우,상승률 상위 50선 - 코스피 - 조선비즈 ,0.9844328
2025-09-10-18-41,HLB생명과학," 리보세라닙  FDA 허가 시점, 항서제약 대응 속도에 달렸다 HLB HLB생명과학, 상승 멈추고 하락 4%대 낙폭 ",0.95902073
2025-09-10-18-41,세방전지," 꼼수 자사주 소각  세방전지, 이상웅 회장  수십억 연봉잔치  250 G  ",0.971214
2025-09-10-18-41,세아제강지주,"한투운용, 세아제강지주 및 세아제강 지분 광폭 매입 ",0.95745766
2025-09-10-18-41,SAMG엔터,"SAMG엔터, 스톡옵션 9.9만주 행사..윤원기 CFO 29억원 SAMG엔터, 9만 8700주 주식매수선택권 행사 ",0.97577477
2025-09-10-18-41,한화시스템,"삼성SDS 한화시스템, 1100억원대 국방 무기체계 R D 사업서 격돌  단독  한화시스템,  능동방호체계 레이저 대공무기 천광  폴란드 기술 이전 추진 한화그룹 방산 3사, DSEI 2025서  유럽형 방산 솔루션  공개 시장 공략 박차 한화시스템, 9월 10일 53,600원 3.67% 상승 마감 ",0.9749261
2025-09-10-18-41,HD현대일렉트릭," HD현대일렉트릭, 미국 이익 개선   유럽 진입 속도  -한투   특징주 HD현대일렉트릭, 유럽시장 확대 기대감에 강세 사상 최고가 ",0.9626887
2025-09-10-19-19,KT,  동남아 뒤흔든  가짜 기지국  KT 결제망도 뚫었나 팩플  ,0.96776175
2025-09-10-19-19,HD현대일렉트릭," HD현대일렉트릭, 미국 이익 개선   유럽 진입 속도  -한투   특징주 HD현대일렉트릭, 유럽시장 확대 기대감에 강세 사상 최고가 ",0.9626887
2025-09-10-19-19,SAMG엔터,"SAMG엔터, 스톡옵션 9.9만주 행사..윤원기 CFO 29억원 SAMG엔터, 9만 8700주 주식매수선택권 행사 ",0.97577477
2025-09-10-19-19,DB,"DB하이텍, 내년까지 자사주 9.35% 소각 EB 발행 등으로 전량 처분 계획 발표 디노티시아  CPU보다 12배 빠른 벡터DB 구현   긱스  DB하이텍, 창사 이래 첫 700억원 규모 자사주 소각 - 조선비즈 DB손보,  환경책임보험 청소년환경캠프  성료 ",0.9800824
2025-09-10-19-19,세방전지," 꼼수 자사주 소각  세방전지, 이상웅 회장  수십억 연봉잔치  250 G  ",0.971214
2025-09-10-19-19,HLB생명과학," 리보세라닙  FDA 허가 시점, 항서제약 대응 속도에 달렸다 HLB HLB생명과학, 상승 멈추고 하락 4%대 낙폭 ",0.95902073
2025-09-10-19-19,효성첨단소재,"HS효성첨단소재, 북미 최대 복합소재 전시회  CAMX 2025  참가 ",0.9962251
2025-09-10-19-19,SK우,"SK, 하반기 실적 개선 전망에 3%대 강세 특징주  상승률 상위 50선 - 코스피 - 조선비즈 상승률 상위 50선 - 코스피 - 조선비즈 상승률 상위 50선 - 코스피 - 조선비즈 ",0.9714216
2025-09-10-19-19,삼성전기우," 특징주  삼성전기우, 초슬림형  아이폰 에어  공개에도 하락 ",0.9868491
2025-09-10-19-19,레인보우로보틱스," 생생한 주식쇼 생쇼  레인보우로보틱스  277810  대장의 귀환 기대  투자 핫플레이스  국내 대표 휴머노이드 로봇업체  레인보우로보틱스  레인보우로보틱스, 장중 280,000원 전일 대비 0.54% 상승  작전명 올레드   레인보우로보틱스, 휴머노이드 강자 글로벌 기회 잡는다 ",0.95344234
2025-09-10-19-19,서부T&D," 리포트 브리핑 서부T D,  우리나라 대표 얼굴 되어가는 드래곤시티  목표가 13,000원 - SK증권  애널픽    용산 드래곤시티 로 몰린다...서부T D, 목표가   SK   서부T D, 국내 호텔업 호황에 실적 성장 목표주가 23%   ",0.9597707
2025-09-10-19-19,대우건설,대우건설 전국 공사 중단  GTX-B 민자구간도 멈췄다 ,0.96166694
2025-09-10-19-19,한화시스템,"삼성SDS 한화시스템, 1100억원대 국방 무기체계 R D 사업서 격돌  단독  한화시스템,  능동방호체계 레이저 대공무기 천광  폴란드 기술 이전 추진 한화그룹 방산 3사, DSEI 2025서  유럽형 방산 솔루션  공개 시장 공략 박차 한화시스템, 9월 10일 53,600원 3.67% 상승 마감 ",0.9749261
2025-09-10-19-19,한국금융지주우,상승률 상위 50선 - 코스피 - 조선비즈 ,0.9844328
2025-09-11-19-46,제일기획," 좋은 광고인 꿈 꾼다면,  나 부터 세워라!   김윤호 제일기획 크리에이티브랩 팀장 ",0.9635055
2025-09-11-19-46,한화생명," 신탁 M A 신상품  삼각 확장...한화생명, 실적 반등 위한 광폭 행보 ",0.9552342
2025-09-11-19-46,원익IPS," 원익IPS  52주 신고가 경신, 장비 내 주도주 - SK증권, 매수  포토   리얼 서밋 2025  기조연설 나선 김경호 원익IPS 본부장 원익IPS, +5.47% 52주 신고가 - 조선비즈  오늘의 주목주   유럽 진출 본격화  HD현대일렉트릭 8%대 급등, 코스닥 원익IPS 9%대 상승 ",0.9511579
2025-09-11-19-46,HMM,"산은 회장에 박상진  HMM 민영화 속도  BNK 시민단체  HMM 부산 모시기  사활  네트워크 접근권 사세요  국내 대표 해운사 HMM, 해킹에 당했다 HMM, 해킹 공격 정황 포착   피해 사실은 없는 것으로 드러나 ",0.9552431
2025-09-11-19-46,엘앤씨바이오,"엘앤씨바이오,  리투오  기반 피부 재생 기업  진화  중국 SI들과 현지 시장 공략  임박  ",0.9933215
2025-09-11-19-46,한화시스템," 단독  한화시스템,  능동방호체계 레이저 대공무기 천광  폴란드 기술 이전 추진 삼성SDS 한화시스템, 1100억원대 국방 무기체계 R D 사업서 격돌 한화그룹 방산 3사, DSEI 2025서  유럽형 방산 솔루션  공개 시장 공략 박차 한화오션 한화시스템 한화파워시스템, 전세계 선박 시장  선도  ",0.9615307
2025-09-11-19-46,한국금융지주우,상승률 상위 50선 - 코스피 - 조선비즈 ,0.9844328
2025-09-11-19-46,효성첨단소재,"HS효성첨단소재,    CAMX 2025 서 차세대 탄소섬유 제품 선봬 HS효성첨단소재, 북미 최대 복합소재 전시회  CAMX 2025  출격 HS효성첨단소재,   CAMX 2025서 차세대 탄소섬유 선보여 - 조선비즈 HS효성첨단소재,  최대 소재 전시회서 탄섬 신규라인 소개 ",0.9759488
2025-09-11-19-46,SK이노베이션,"SK이노베이션,  2025 WIN 어워드  다양성 우수기업 선정  다양성이 경쟁력  SK이노베이션, WIN 어워드  소재 부문 1위   BPA  SK이노베이션과 부산항 RE-100 달성 위한 협약 외 민관 부산항 탄소중립 실현 맞손 ",0.96348274
2025-09-11-19-46,HLB생명과학,"HLB HLB생명과학, 상승 멈추고 하락 4%대 낙폭 ",0.9706664
2025-09-11-19-46,원익QnC,원익QnC 주가  싱글벌글 ... 반도체 석영 세라믹 소재 기술력 강화 ,0.9908189
2025-09-11-19-46,KT, 속보 KT  금전 피해 100% 책임 신속한 피해보상안 마련  ,0.9752131
2025-09-11-19-46,SK우,"SK, 하반기 실적 개선 전망에 3%대 강세 특징주  ",0.9962637
2025-09-12-21-42,S-Oil,"NH투자증권  S-Oil, 정제마진 상승 중..   수요부진에 상대적 약세  에쓰오일, 고립 노인 구하다 순직한 해경 유족에 위로금 전달  클릭 e종목  에쓰오일, 정제마진 개선 전망 목표가   S-OIL,  이재석 경사 유족에 위로금 3000만원 전달 ",0.9739806
2025-09-12-21-42,원익QnC,원익QnC 주가  싱글벌글 ... 반도체 석영 세라믹 소재 기술력 강화 ,0.99631464
2025-09-12-21-42,강원에너지," 진단 광물개발  강원에너지  신진용,유승주 대표 체제 강원에너지, 외형 급성장 뒤에 숨은 재무 불안과 오너 리스크 ",0.9723278
2025-09-12-21-42,효성첨단소재,"HS효성첨단소재,    CAMX 2025 서 차세대 탄소섬유 제품 선봬 HS효성첨단소재,   CAMX 2025서 차세대 탄소섬유 선보여 - 조선비즈 HS효성첨단소재,  최대 소재 전시회서 탄섬 신규라인 소개 HS효성첨단소재,   CAMX서 차세대 탄소섬유 기술력 선보여 ",0.9616633
2025-09-12-21-42,SK우,"SK, 하반기 실적 개선 전망에 3%대 강세 특징주  상승률 상위 50선 - 코스피 - 조선비즈 ",0.9681306
2025-09-12-21-42,금호석유,"형제 갈등 박찬구 회장  선구안 , 금호석유 홀로 미소 금호석유화학  휴그린 , 개그맨 임우일과 첫 유튜브 라이브 방송 진행 금호석유화학  휴그린 , 첫 유튜브 라이브 마무리 금호석유화학, 박주형 부사장 주식 900주 매수 ",0.9649706
2025-09-12-21-42,CJ제일제당,"CJ제일제당, 사료회사  피드앤케어  매각 추진 이번에는 성공할까 ",0.95258033
2025-09-12-21-42,SK네트웍스,"SK, 실적 개선 전망에 상승세 ",0.98384243
2025-09-12-21-42,SK증권우,상승률 상위 50선 - 코스피 - 조선비즈 ,0.98786086
2025-09-12-21-42,세아제강지주,"한투운용, 세아제강지주 및 세아제강 지분 광폭 매입 ",0.9629965
2025-09-12-21-42,대한유화,개인정보 유출 반복 기업  징벌적 과징금  낸다   SK 대한유화 NCC 구조조정 협의 중단  AI 프리즘*신입 직장인 뉴스  SK 대한유화 NCC 구조조정 협의 난항 여수 대산은 물밑교섭 ,0.9680776
