date,news,target
2/16/2025:12/16/2025,가온전선 KRX 000500 은 양호한 실적을 기록했지만 주의해야 할 다른 요인들이 있다. LS전선의 가온전선 주식 장내매수 계획 공시 당시 밝힌 목적은 주주가치 제고다. 하지만 시장에서는 LS전선이 상장 자회사인 가온전선을 자진 상장폐지...6개월 전,0
09/29/2025:09/29/2025,"케어젠, 페루 파라과이에  코글루타이드 마이오키 디글루스테롤  독점 공급 계약 체결  파이낸셜뉴스  펩타이드 전문 바이오기업 케어젠은 자사의 핵심 건강기능식품 파이프라인인 코글루타이드 Korglutide , 마이오키 Myoki , 디글루스테롤 Deglusterol ...",1
/19/2025:11/19/2025," 저러다가 한방에 골로 가지 ...간큰 투자자들의 위험한 베팅  코스피 주가 하락률 Top 10  하이트진로홀딩스우, 사조오양, 대덕전자, 대동전자, QV S P500 VIX S/T 선물 ETN B 주가 순으로 20일 장 마감.20일 가격제한폭을 제외한...3주 전",0
08/01/2025:08/03/2025," 1세대 로드숍  미샤 , 글로벌 뷰티기업 향한다  신유정 에이블씨엔씨 대표  이주의 유통    서울 뉴시스 이주혜 기자   1세대 로드숍으로 알려진 K뷰티 브랜드  미샤 와  어퓨  등을 운영하는 에이블씨엔씨가 로드숍 침체기를 벗어나 글로벌 뷰티 기업으로...",1
09/06/2025:09/07/2025,"비엠티, +5.98% 52주 신고가 - 조선비즈 비엠티, +5.98% 52주 신고가 하이록코리아013030, 성광벤드014620, 태광023160, 화성밸브039610, 에쎈테크043340, 케이에스피073010, 비엠티086670, 디케이락105740,...",1
6/01/2024:6/02/2024," 코 흥구석유, 상한가 진입.. +30.00%   증권   News봇 뉴스  오전 11시 18분 현재 흥구석유 024060 가 +30.00% 오른 16250원  3750 으로 장중  상한가에 진입했다. 거래대금은 2144억8,73...",1
01/15/2026:01/15/2026,"외국인 순매수 전환, 현대힘스와 LS티라유텍 주목  디지털투데이 임민철 에디터  스마트팩토리 솔루션 기업 LS티라유텍 322180 의 주요주주 제이케이엘이에스지미래모빌리티밸류체인사모투자가 2026년...11시간 전",0
09/01/2025:09/01/2025,"세진중공업, 5거래일 연속 상승에 17% 급등 1만8000원선 재돌파  이코노뉴스 어 만 기자  세진중공업이 급등 중이다.세진중공업은 2일 코스피 시장에서 오전 11시4분 현재 전 거래일 대비 17.34% 2750원  상승한 1만8610원에 거래...",1
미상,"앤디포스, 신사업 박차 전기차용  절연쉬트 아크릴 폼  납품 확대  파이낸셜뉴스  기능성 테이프 필름 제조업체 앤디포스가 해외 완성차 업체의 전기자동차용 2차 전지에 사용될 절연쉬트와 양면 테이프의  납품을 확대했다.",0
07/11/2025:07/13/2025,"SK증권  미래에셋증권, 실적은 회복 ROE는 여전히 아쉬워  미래에셋증권이 이익 정상화 기대감 속에 목표주가 상향 조정을 받았지만, 주가의 단기 급등세와 여전한 수익성 변동성을 감안할 때 무리한 낙관론은 경계할 필요가...",0
05/30/2025:06/01/2025,"한국비엔씨, +30.00% 상한가 - 조선비즈 한국비엔씨, +30.00% 상한가 오성첨단소재052420, 화일약품061250, 비엘팜텍065170, 우리바이오082850, 애머릿지900100, 세토피아222810, 한국비엔씨256840,...",0
/04/2025:11/04/2025,"제이아이테크, +9.56% VI 발동 - 조선비즈 제이아이테크, +9.56% VI 발동 동진쎄미켐005290, 한솔케미칼014680, 원익홀딩스030530, 에프에스티036810, 솔브레인홀딩스036830, 티씨케이064760, 원익QnC074600,...",1
2/07/2025:12/07/2025,"동양우, -0.18% 상승폭 확대 - 조선비즈 대호에이엘, 남광토건 등 주요 하락 종목 분석 8일 장 마감 기준, 동양우 001525 가 등락률 -15.78%로 1위를 차지했다. 동양우의 현재가는 4775원이며...7시간 전",0
09/01/2025:09/01/2025," Constr.   Now  디아드, 갤럭시아에스엠과 전략적 제휴  글로벌 피트니스 프로그램 도입 등 디아드, 갤럭시아에스엠과 전략적 제휴  글로벌 피트니스 프로그램 도입대한민국 최초 프라이빗 멤버스 클럽 디아드 DYAD 가 스포츠마케팅 전문기업  갤럭시아에스엠...",0
미상,씨티케이 52주 신고가 경신  OTC  친환경 소재 사업 확장 기대   최근 애널리스트 분석의견 -  OTC  친환경 소재 사업 확장 기대 06월 13일 유안타증권의 이승은 애널리스트는  씨티케이에 대해  2Q24 Preview 전년 2분기,1
0/27/2025:10/27/2025,"앱클론, 360억 규모 영구 CB CPS 발행 납입 완료 앱클론은 360억원 규모의 영구 전환사채 CB 와 전환우선주 CPS  발행에 대한 납입 발행가 주당 1만8223원 이 완료됐다고 28일 공시했다.영구 CB는 252억원, CPS는 108...",1
09/20/2025:09/21/2025,"SAP 암호화 신기술 탄생 인스피언, 보안 시장 판도 흔든다 인스피언 주가가 휘파람을 불고 있다.22일 한국거래소에 따르면 이날 오전 10시 36분 현재 7.41% 상승 7100원에 거래되고 있다.주가는 원형바닥에서 벗어나 가속도를...",0
미상,STX엔진 +3.98% 52주 신고가 - 조선비즈 STX엔진 +3.98% 52주 신고가 STX엔진077970이 52주 신고가를 경신했다 전일 대비 3.98% 상승한 16200원에  거래되고 있다 STX엔진 연관 테마 혜인003010,1
08/09/2025:08/10/2025,"엘앤에프, 8월 11일 장중 82,600원 기록 9.26% 급등  잡포스트  김지환 기자   엘앤에프 주가가 11일 오전 9시 56분 기준, 네이버페이 증권에 따르면 82600원에 거래되고 있다.이는 지난 8일 종가 75600원 대비 7000원...",1
미상,마음AI 챗GPT 사용 못 하는 기업 위한 LLM 패키지 출시 정보통신신문서유덕기자 인공지능 전문회사 마음AI는  MAALAlbatross 와  Task UI   Orchestra 로  구성된 대형언어모델LLM 패키지를 출시,0
/23/2025:11/23/2025," 주식  메드팩토,  KDDF 신약개발과제 선정  주가는 12%  메드팩토 Medpacto 는 19일 회사의 신규 면역항암제 후보물질  MP010 이 국가신약개발사업단 KDDF 에서 주관하는 2025년도 제2차 국가신약개발사업의...5일 전",0
월봉,"우리은행,  우리 틴틴  가입 이벤트로 청소년 금융교육 강화 우리은행은 우리WON뱅킹  우리 틴틴  서비스 신규가입 고객을 대상으로 연말까지 선착순 1만명에게 인생네컷 촬영 쿠폰을 지급하는  이벤트를 실시한다고 31일 밝혔다.",1
09/29/2025:09/29/2025,"1년만에 새 수장 맞은 신세계푸드  베이커리 프랜차이즈 B2B에 총력  - 머니투데이 신세계푸드가 임형섭 55  B2B담당을 새 대표로 선임하며  식품 B2B 전문기업 전환 이란 비전을 내세웠다. 식자재를 중심으로 한 식품유통과 베이커리, 프랜차이즈 등에...",0
6/15/2024:6/16/2024," 강세 토픽  음식료 - 수산식품 테마, 사조대림 +28.08%, 사조씨푸드 +21.35% - 조선비즈  음식료 - 수산식품  테마가 강세다. 전일 대비 3.77% 상승세이다. 사조대림 003960  +28.08%,  사조씨푸드 014710  +21.35%, 동원F B +4.01% 등이 테마 상승을 이끌고...",0
01/15/2026:01/15/2026," 특징주  에스피시스템스,  아틀라스  CES 베스트 로봇 선정에   3일 금융감독원 전자공시시스템에 따르면 에스피시스템스는 총 69억309만원 규모의 시설, 운영 자금을 조달하기 위해 교환사채를 발행한다고 지난달 31일...2개월 전",0
0/29/2025:10/29/2025,"HD현대인프라코어, 건설기계 시장 회복세 수익성 개선  딜사이트 이우찬 기자  HD현대인프라코어가 글로벌 시장 수요 회복에 힘입어 3분기 안정적인 실적을 기록했다. HD현대인프라코어는 3분기 매출 1조1302억원,...",0
08/07/2025:08/07/2025," 메자닌 워치  DSK  마이너스  경영권 프리미엄 배경에 상상인? 자금 조달을 명분으로 한 전환사채 CB 와 신주인수권부사채 BW , 교환사채 EB  등 메자닌 발행이나 유상증자 등은 기업 경영에 필요한 수단이 될 수 있다.",0
/10/2025:11/10/2025,"코오롱모빌리티그룹우, 23%대 하락세로 주목 주요 종목 대규모 매도세, 코스맥스 및 파라다이스 하락세 11일 장 마감 기준, 코오롱모빌리티그룹우 45014K 가 등락률 -23.17%로 1위를 차지했다.2일 전",0
08/16/2025:08/17/2025,"NEW 스튜디오앤뉴, 아티스트컴퍼니와 드라마 공동제작 계약 체결 한눈에 보는 오늘   영화 - 뉴스   콘텐츠미디어그룹 NEW 넥스트엔터테인먼트월드, 회장 김우택 의 콘텐츠제작사업 계열사 스튜디오앤뉴가  아티스트컴퍼니와 손잡았다...",1
08/27/2025:08/27/2025, 서울데이터랩 부국증권 15.08% 급등 금일 증시 상승률 1위로 마감 28일 오후 15시 35분 부국증권 001270  001270 이 등락률 +15.08%로 상승률 1위로 마감했다. 부국증권은 장 중 671739주가 거래되었으며 주가는 전 거래일 대비 8400원...,1
6/08/2024:6/09/2024,"1위 한국가스공사 2위 SK 3위 삼성중공업, 6월 2주차 LNG 액화천연가스  테마 트렌드지수 테마별 주식 LNG 액화천연가스  부문 트렌드지수에서 한국가스공사 주가는 랭키파이 2024년 6월 2주차 트렌드지수 분석 결과 1위를  차지했다.랭키파이 빅데이터를 분석...",1
09/23/2025:09/23/2025,"아난티, 4거래일만에 5% 급락 9400원선 밑으로  이코노뉴스 어 만 기자  아난티가 가파른 하락세다.아난티는 24일 코스닥 시장에서 오전 9시4분 현재 전 거래일보다 5.28% 520원  하락한 9330원에 거래되고 있다.",0
09/29/2025:09/29/2025,카지노업계에도 부는 스테이블코인 바람  뉴스토마토 변소인 기자  카지노업계에서도 암호화폐 시장의 변동성을 줄이기 위해 고안된 스테이블코인이 관심의 대상이 되고 있습니다.,0
08/13/2025:08/13/2025,"에이블씨엔씨, 2Q 영업익 72억 전년  40%  매일일보   민경식 기자   에이블씨엔씨가 내실과 외형을 모두 챙기며 존재감을 알리고 있다.에이블씨엔씨는 올 2분기 연결기준 영업이익이 72억원으로 전년 동기 대비...",1
/19/2025:11/19/2025,DDR5 eSSD 수요 폭발  티엘비 수주잔고 ASP 동반 상승  서울 뉴스핌  송기욱 기자   박희철 교보증권 연구원은 20일 티엘비에 대해  추가 증설 결정으로 2026년 큰 폭의 성장이 예상된다 며 목표주가를 9...10시간 전,0
09/09/2025:09/09/2025," 특징주  LG이노텍, 애플 아이폰17 예상보다 낮은 호응  약세  애플의 아이폰17 발표 이후 부품 관련주인 LG이노텍이 약세를 보이고 있다. LG이노텍은 아이폰용 카메라 모듈 최대 공급사로 아이폰 신제품 발표를 앞두고 주가 상승...",0
미상,브랜드 평판 6울 통신장비 상장기업 1위 서진시스템...5G 네트워크 구축 사업 부각 한국기업평판연구소가 발표한 6월 통신장비 상장기업 브랜드평판 조사 결과 서진시스템이 1위를 차지했다.케이엠더블유와 광무가 각각 2위와  3위를 차지했다.,0
2/10/2025:12/10/2025,"한화비전 한화세미텍, 환경공단과 협약 한화비전과 한화세미텍이 한국환경공단과 폐전기 전자제품 자원순환을 위한 업무협약을 체결하며 온실가스 감축과 환경 개선 활동을 강화한다.6일 전",0
/26/2025:11/26/2025,"세기상사, 충무로 대한극장 영업 종료  슬립노모어 로 재탄생  뉴스봇  세기상사 002420 가 VI가 발동했다. 전일 대비 8.57% 상승한 4,880원에 거래되고 있다. 세기상사의 최근 1주일간 외국인 기관 매매내역을...8시간 전",1
09/20/2025:09/21/2025,"LS에코에너지, 아세안 해저 HVDC에 희토류까지 성장 동력 가속 LS에코에너지 제공 LS에코에너지가 아세안 3국의 해저 초고압직류케이블 HVDC  구축 합의가 본격적인 사업화 단계로 접어들면서 글...",0
09/01/2025:09/01/2025,"철강 중소형 관련주,  웃음꽃  영흥 화인베스틸...  시무룩  동일스틸럭스  현대경제신문 홍미경 기자  철강 중소형 관련주들이 전 거래일 대비 1.01% 하락으로 장을 마감했다.1일 한국거래소에 따르면 영흥, 화인베스틸은 상승했다.",0
2/30/2024:01/01/2025,"아반떼 잡으러 왔다더니  생각지도 못했다  기아의 야심작, 가격이  무려  - 더위드카 기아의 신형 준중형 세단 K4가 북미 시장에 모습을 드러낸 가운데 경쟁 모델보다 높은 가격이 문제가 되고 있다.",1
3/21/2025:3/23/2025,"포스코인터내셔널, -7.97% VI 발동 - 조선비즈 포스코인터내셔널, -7.97% VI 발동 포스코인터내셔널047050이 VI가 발동했다. 전일 대비 7.97% 하락한 54300원에 거래되고 있다. 포스코인터내셔널 연관 테마현대...",0
7/21/2024:7/22/2024,"7월22일 오늘  궁합이 맞는 종목은? 2024년 7월 22일 오늘 관심가질 종목입니다 1.쥐띠   눈으로 강세를 보고 귀로 약세를 들어라 60년생  LS, HLB생명과학   72년생  풍산, LS ELECTRIC  84년생  한화오션...",0
/25/2025:11/25/2025,"한스바이오메드,인체조직 수요 맞춰 생산능력 2배  2200억원 규모 조직이식재, 리프팅실, 인체조직 스킨부스터, 화장품 등 다양한 영역으로 확장했지만, 각 부문이 독립적으로 수익을 창출하기에는 시장 규모와 경쟁 강도...3주 전",0
2/16/2025:12/16/2025,"꿈비 주가, 급등중... 이유는? 꿈비, +14.57% 상승폭 확대 뉴스봇 꿈비407400가 상승폭을 확대하고 있다. 전일 대비 14.57% 상승한 5110원에 거래되고 있다. 꿈비 연관 테마 키즈...14시간 전",1
/13/2025:11/13/2025,"거래소, 내년 단일가매매 적용 저유동성 종목 23개 확정 2025 한국여자프로골프 KLPGA  투어-2025 동부건설-한국토지신탁 챔피언십-10월 1일 수  4일 토 -전라북도 익산시 익산컨트리클럽 Par72.1개월 전",0
2/17/2025:12/17/2025,"제이투케이바이오, 바이오소재 혁신으로 성장 가속 제이투케이바이오는 AI 기반 원료 배합 기술, 비건 생촉매 기반 고기능성 화장품 원료 개발 등 국책과제 협력을 통해 기술 경쟁력을 강화하고 있다. AI...2주 전",0
월봉,"두산-삼성전 열리는 잠실구장, 시즌 6번째 매진 대전도 17G연속 매진  서울 뉴스1  원태성 기자   프로야구 두산 베어스와 삼성 라이온즈의 경기가 열리는 서울 잠실구장에 만원 관중이 들어찼다.두산 구단은  근로자의 날인 1일 삼성과의...",1
09/13/2025:09/14/2025," 삼성물산  52주 신고가 경신, 외국인, 기관 각각 10일, 4일 연속 순매수 ...   주체별 매매동향 - 외국인, 기관 각각 10일, 4일 연속 순매수 지난 한달을 기준으로 보면 외국인이 70.6만주를 순매수했고, 기관도 46.3만주를 순매수했다.",0
미상,비즈한국 대기업 총수 자택 공시가격 정원 규모만 418평 고급주택부터 건물 3개동 790평 주택까지 공시가 3억대 중반 아파트에 거주하는  서민?형 회장님,0
/17/2025:11/17/2025,"삼양컴텍, 수출형 K2 전차 방호력 성능개선 50억원 개발 계약 체결  더퍼블릭 오두환 기자  K-방산 방탄솔루션 기업 삼양컴텍이 폴란드 2차 수출용 K2 전차 PL 의 방호력 강화를 위한  수출형 K2전차 방호력 성능개선 ...5시간 전",0
09/13/2025:09/14/2025,"만호제강, +17.97% 상승폭 확대 - 조선비즈 만호제강, +17.97% 상승폭 확대 한국주철관000970, 만호제강001080, SHD001770, 한일철강002220, TCC스틸002710, 현대비앤지스틸004560, 동일산업004890,...",0
09/20/2025:09/21/2025," 특징주 박셀바이오, 동물용 항암제  박스루킨-15  시장 진출로 장 시작과 동시에 갭상승 상한가 직행하나  바이오타임즈  박셀바이오 323990 가 개장 직후 강세를 보이고 있다. 동물용 항암제  박스루킨-15 의 림프종 적응증 허가 소식이 알려지면서 매수세가 몰린 영향...",0
6/30/2024:7/01/2024,"엔비티  애디슨 오퍼월 , 메타버스 플랫폼에도 진출  제페토  국내서비스 구축 운영 모바일 포인트 플랫폼 기업 엔비티 236810, 대표 박수근 가 자체 운영하는 국내 1위 오퍼월 네트워크 서비스   애디슨 Adison 이 메타버스 플랫폼  제페토 ZEPETO  ...",0
09/01/2025:09/01/2025,"하락률 상위 50선 - 코스닥 - 조선비즈 순위, 종목명, 등락률, 연관 섹터. 1, CNH, -43.75%, *관리종목. 2, 이트론 096040 , -21.43%, *관리종목. 3, 이화전기 024810 , -14.89%, *관리종목.",0
07/25/2025:07/27/2025,"52주 신저가 - 코스닥 - 조선비즈 순위, 종목명, 연속일, 주가 등락률, 연관 섹터. 1, 아우토크립트, 8, -3.93%. 2, 동일스틸럭스 023790 , 5, -4.25%,  철강 중소형업체 . 3, 도우인시스 484120 , 4...",0
09/09/2025:09/09/2025,"어보브반도체, +3.84% 상승폭 확대 - 조선비즈 어보브반도체, +3.84% 상승폭 확대 DB하이텍000990, 디아이003160, 시그네틱스033170, 네패스033640, SFA반도체036540, 에프에스티036810, 아이에이038880,...",1
08/01/2025:08/03/2025,"HJ중공업,  마스가  수혜 기대에 7% ...국내 최다 군함 건조 실적 부각 특징주  HJ중공업 097230 이 강세를 보인다. 한국과 미국 관세 협정의 후속 조치로  마스가 MASGA 미국 조선업을 다시 위대하게  프로젝트 가 본격 가동되는 가운데 정부와...",1
0/29/2025:10/29/2025,"450조 원 규모 글로벌 협력 프로젝트 신테카바이오, 새 시대 연다 AI 신약개발 전문기업 신테카바이오 주가가 강세를 보이고 있다.30일 한국거래소에 따르면 이날 오후 3시2분 현재 2.49% 상승 3905원에 거래되고 있다.",1
2/10/2025:12/10/2025,"  과학자들  자비스  AI 무장   과학전용 AI 모델 공개논문조사분석 3 5일서 20분, 연구시간 99% 단축 X-ray 검사장비 대표기업 자비스 254120, 대표 김형철 기 중소벤처기업부 이하 중기부 가 주관하는  2025년 중소기업 기술개발 R D  우수성과 50선 에...1주 전",0
2/01/2025:12/01/2025,"코오롱생명과학, RNA 핵심 원료  포스포아미다이트  공급 이우석 코오롱생명과학 대표  데일리팜 정혜진 기자  주성분 세포가 달라 허가가 취소된  인보사주 의 코오롱생명과학 이우석 대표 63 가 결국 구속...3일 전",0
09/09/2025:09/09/2025," N2 특징주  SK하이닉스, 7거래일 연속 상승... 30만닉스  목전  뉴스투데이 유한일 기자  SK하이닉스 000660 가 10일 7거래일 연속 상승하며  30만닉스 SK하이닉스 주가가 30만원을 기록하는 것   돌파를 시도하고 있다.",0
2/01/2025:12/01/2025,"다보링크, 또 사업목적 추가 이번에는 위성 방산  딜사이트경제TV 성우창 기자  코스닥 상장사 다보링크의 재무 건전성이 급격히 악화되면서 위험 수위에 도달했다.1일 전",0
08/10/2025:08/10/2025," 단독  고이즈미, 파주 논 시찰 쌀 생산 유통 등 확인 차기 일본 총리로 유력한 고이즈미 일본 농림수산상이 방한 기간 파주 농가를 방문해 쌀 생산 실상과 식량안보 공동 대응 방안을 모색한 사실이 확인됐습니다.",1
6/08/2024:6/09/2024," 오전 급등주 점검  아이에스이커머스 29% 급등 외...재무 상태는?   뉴스 10일 오전 9시 30분 현재 아이에스이커머스2455원,  566원, 29.96%가 전일 대비 29% 급등 중이다. 재무 안전성에선   별 3개 를 받았다. 바이오다인15100원,  2880원,...",1
/20/2025:11/20/2025," 강세 토픽  코스피 하락에 투자  ETF ETN  테마, RISE 200선물인버스2X +8.54%, TIGER 200선물인버스2X +8.37% - 조선비즈 국내 상장지수펀드 ETF 시장은 빠르게 성장하며 투자자들의 주요 투자 수단으로 자리잡았다. 국내에 상장된 ETF 가운데 이번 주 가장 많이 오른 상품...2시간 전",1
/11/2025:11/11/2025,"면역항암제 관련주,  봄날의 햇살  에이비엘바이오 에이비프로바이오 이뮨온시아...  찬바람  리가켐바이오 PD-1x IL2v는 동시에 종양 내 면역세포에 붙어 면역세포를 활성화 시킨다. IL2를 독립적으로 투여하는 경우에 발생하는 독성 문제도 해결하고 Fc부분에...2개월 전",1
2/07/2025:12/07/2025,서울고속버스터미널 재개발 소식에 천일고속 주가가 10배 뛴 이유는?    천일고속의 주가 급등은 기업 실적이나 본질과는 거리가 멀다. 서울고속버스터미널 재개발 추진 가능성이라는 불확실한 기대 하나만으로 주가는...14시간 전,0
2/30/2024:01/01/2025," 새해엔 모두 행복하자  을사년 밝힌 일출, 전국 차분한 해맞이  울산 연합뉴스  김용태 기자   1일 오전 한반도 육지에서 해가 가장 먼저 뜨는 울산시 울주군 서생면 간절곶에서 해맞이객들이 2025년 첫 일출을 기다리고 있다.",0
미상,"신한투자증권, MTS  ETF 전용  홈 화면 오픈  시사캐스트, SISACAST 이민선 기자  신한투자증권은 최근 고객의 관심도가 높은 ETF 투자 접근성을 확대하고자 신한 SOL증권  모바일트레이딩시스템 MTS  메인 최상단...",1
2/30/2024:01/01/2025,"올해 제약바이오 헬스케어 기업 19곳 신규 상장  의학신문 일간보사 김정일 기자  2024년 제약바이오 헬스케어 기업 19개사가 코스닥 시장에 새롭게 상장한 것으로 나타났다. 이중 파인메딕스, 디앤디파마텍,...",1
08/22/2025:08/24/2025,"알체라, +9.30% 상승폭 확대 - 조선비즈 알체라, +9.30% 상승폭 확대 퍼스텍010820, 한국전자인증041460, 라온시큐어042510, 파워로직스047310, 포니링크064800, 유니퀘스트077500, 파트론091700,...",0
2/07/2025:12/07/2025, 상한가 분석  동양 코오롱모빌리티그룹우 라닉스까지 펄펄 끓는다 먹는 비만약 임상시험에서 의미 있는 결과를 알린 일동제약 주가가 급등했다. 29일 유가증권시장에서 일동제약 249420 은 전 거래일보다 26.97%...2개월 전,0
08/07/2025:08/07/2025,"동일스틸럭스, +4.58% 52주 신고가 - 조선비즈 동일스틸럭스, +4.58% 52주 신고가 한국주철관000970, 만호제강001080, SHD001770, 한일철강002220, TCC스틸002710, 현대비앤지스틸004560, 동일산업004890,...",0
3/30/2024:3/31/2024," 1분기 리그테이블-유증주관  LGD 대한전선이 관건 1위 KB 2위 NH 올해 1분기 유상증자 주관 순위는 LG디스플레이와 대한전선 주관 규모가 갈랐다.두 건 모두 관여한 곳은 KB증권과 NH투자증권이었는데,  KB증권이 간발의 차로 1위를...",1
09/13/2025:09/14/2025,"한미약품, 멕시코에 당뇨약 공급 나선다  후생신보 한미사이언스 핵심 사업회사 한미약품이 최근 멕시코 제약사 실라네스 Laboratorios Silanes 와 당뇨 복합제에 대한 라이선스 및 공급 계약을 체결,...",1
미상,우리동네GS MAU 역대 최고GS리테일 앱 오프라인 유통사 앱 1위 포쓰저널 가장 빠른 O4OOnline for Offline 전환에 성공한 GS리테일이 오프라인 유통사 앱 중 1위 지위를 더욱  공고히 하고 있다13일 GS리테일에 따르면  우리,0
8/18/2024:8/19/2024, 본업이냐 신사업이냐  한화 삼남 김동선의 딜레마 한눈에 보는 오늘   홈 - 뉴스   김동선 한화갤러리아 부사장이 이끄는 한화갤러리아의 백화점 부문 실적이 악화하면서 본업 경쟁력에  대한 우려가 제기되고 있다.,1
월봉,이복현 금융감독원장  위기 대응능력 확보할 것   핀포인트뉴스 임이랑 기자  이복현 금융감독원장이  부실기업에 대해 자기책임원칙을 엄격히 적용하되 질서 있는 구조조정과 사업 재편을  유도하겠다 고 밝혔다.,0
08/22/2025:08/24/2025,"22일 코스닥 시장 공매도 수량 상위 종목. 우리기술, 보성파워텍 등 - 조선비즈  뉴스봇  지난 22일 코스닥 시장에서 우리기술 032820 의 공매도 수량이 가장 많은 551,616주를 기록했다. 22일 우리기술 032820 의 공매도 평균 가격은 3,650원으로...",0
08/09/2025:08/10/2025,한-베 정상회담  베트남 고소득 선진 국가 발돋움   새로운 한강의 기적 만들 것  이재명 대통령과 베트남 또 럼 공산당 서기장이 정상회담을 열고 안보와 경제 분야 등에 대한 양국의 협력 필요성을 강조했습니다. 이 대통령은  베트남은 대한민국에...,0
2/16/2025:12/16/2025,"그래피 코스닥 상장, 치과산업 또 다른 가능성 주목받다  프라임경제  3D 프린팅 기반 투명교정장치 전문기업 그래피 318060 가 미국 식품의약국 FDA 으로부터 공식 인증을 받으며 60조원 규모 시장의 선점을...3주 전",0
09/23/2025:09/23/2025," 용호상박 K바이오  엘앤씨바이오 한스바이오메드, 스킨부스터 대격돌 예고 국내에서 피부이식재, 골이식재 등으로 경쟁하던 엘앤씨바이오와 한스바이오메드는 스킨부스터로 전선을 확대한다. 글로벌 무대에서는 둘 모두 중국을 주요 시장으로...",1
09/09/2025:09/09/2025,"인스코비, 지역 소상공인 디지털 마케팅 역량 강화 내외경제TV 정동진 기자   인스코비가 새로운 먹거리 찾기에 한창이다.9일 인스코비, 에스지알소프트 등에 따르면 온라인 스토어 구축 관련 업무협약을 체결,",0
09/20/2025:09/21/2025," 특징주   대통령, 로봇 규제 정비한다는 소식에 로봇주 급등 15일 장 초반 로봇 관련주가 급등 중이다. 이재명 대통령이 15일 제1차 핵심규제 합리화 전략 회의를 주재하는 가운데, 로봇 산업 규제에 대해서도 논의한다는 소식이...",0
/09/2025:11/09/2025,"지투지바이오 주가, 급등세... 왜? 지투지바이오의 주가가 급등 중이다.10일 오전 10시 15분 기준 지투지바이오는 전 거래일 대비 25.04% 1만 6300원  오른 8만 1400원에 거래되고 있다.이날 지투지...",1
8/18/2024:8/19/2024," 장중수급포착  이오플로우, 외국인 32.78만 주 대량 순매수... 주가 +28.35%  서울 뉴스핌  로보뉴스   19일 10시 15분 현재 이오플로우 294090 는 외국인이 32.78만 주 대량으로 순매수 잠정   하면서 전일 대비 28.35%  현재가 13,990원  상승...",0
6/30/2024:7/01/2024,"스마트폰 상장기업 브랜드평판 7월 빅데이터 분석결과...1위 삼성전자, 2위 삼성SDI, 3위 이수페타시스 여성소비자신문 모바일 사이트, 기사 상세페이지,  여성소비자신문 이지은 기자  스마트폰 관련 상장기업 브랜드평판 2024년 7월  빅데이터 분석결과, 1위 삼성전자 2위...",1
